id_loker,pulau,provinsi,job_position,company_name,years_of_experience,years_of_experience_cat,average_processing_time,company_industry,company_size,work_environment_waktu_bekerja,work_environment_gaya_berpakaian,work_environment_gaya_berpakaian_contoh,work_environment_tunjangan,work_environment_bahasa,platform,pendidikan
5411,jawa,dki jakarta,digital marketing,PT Kokoh Inti Arebama Tbk (Group of SCG Indonesia),2,0 - 4 tahun,14,Retail/Merchandise,501 - 1000 pekerja,senin - jumat,kasual,kaos,umum,inggris,jobstreet,s1
5412,jawa,dki jakarta,field collection cibubur,OTO Group,0,0 - 4 tahun,14,Perbankan/Pelayanan Keuangan,lebih dari 5000 pekerja,senin - jumat,bisnis,kemeja,"kesehatan, bonus",indonesia,jobstreet,"d3, s1, sma"
5413,jawa,dki jakarta,field collection cempaka mas,OTO Group,0,0 - 4 tahun,14,Perbankan/Pelayanan Keuangan,lebih dari 5000 pekerja,senin - jumat,bisnis,kemeja,"kesehatan, bonus",indonesia,jobstreet,"d3, s1, sma"
5414,jawa,jawa barat,field collection cikarang,OTO Group,0,0 - 4 tahun,14,Perbankan/Pelayanan Keuangan,lebih dari 5000 pekerja,senin - jumat,bisnis,kemeja,"kesehatan, bonus",indonesia,jobstreet,"d3, s1, sma"
5415,jawa,dki jakarta,field collection ciledug,OTO Group,0,0 - 4 tahun,14,Perbankan/Pelayanan Keuangan,lebih dari 5000 pekerja,senin - jumat,bisnis,kemeja,"kesehatan, bonus",indonesia,jobstreet,"d3, s1, sma"
5416,jawa,banten,field collection ciputat,OTO Group,0,0 - 4 tahun,14,Perbankan/Pelayanan Keuangan,lebih dari 5000 pekerja,senin - jumat,bisnis,kemeja,"kesehatan, bonus",indonesia,jobstreet,"d3, s1, sma"
5417,jawa,dki jakarta,field collection fatmawati,OTO Group,0,0 - 4 tahun,14,Perbankan/Pelayanan Keuangan,lebih dari 5000 pekerja,senin - jumat,bisnis,kemeja,"kesehatan, bonus",indonesia,jobstreet,"d3, s1, sma"
5418,jawa,dki jakarta,field collection kedoya,OTO Group,0,0 - 4 tahun,14,Perbankan/Pelayanan Keuangan,lebih dari 5000 pekerja,senin - jumat,bisnis,kemeja,"kesehatan, bonus",indonesia,jobstreet,"d3, s1, sma"
5419,jawa,dki jakarta,field collection pasar minggu,OTO Group,0,0 - 4 tahun,14,Perbankan/Pelayanan Keuangan,lebih dari 5000 pekerja,senin - jumat,bisnis,kemeja,"kesehatan, bonus",indonesia,jobstreet,"d3, s1, sma"
5420,sumatera,sumatera utara,sales supervisor,PT Novell Pharmaceutical Laboratories,1,0 - 4 tahun,tidak tersedia,BioTeknologi/Farmasi/Riset klinik,2001 - 5000 pekerja,senin - jumat,bisnis,kemeja,"kesehatan, umum, kacamata","indonesia, inggris",jobstreet,tidak dicantumkan
5421,tidak diketahui,tidak diketahui,field collection cileungsi,OTO Group,0,0 - 4 tahun,14,Perbankan/Pelayanan Keuangan,lebih dari 5000 pekerja,senin - jumat,bisnis,kemeja,"kesehatan, bonus",indonesia,jobstreet,"d3, s1, sma"
