id_loker,provinsi,pendidikan
442,dki jakarta,S1
443,jawa barat,TIDAK DICANTUMKAN
444,tidak diketahui,S1
445,maluku,D3
446,dki jakarta,D3
447,di yogyakarta,S1
448,sumatera selatan,S1
449,dki jakarta,S1
449,dki jakarta,S2
449,dki jakarta,PROFESI
449,dki jakarta,S3
450,dki jakarta,D3
451,sumatera utara,D3
452,dki jakarta,D3
453,dki jakarta,S1
454,dki jakarta,S1
455,dki jakarta,D3
456,tidak diketahui,D3
456,tidak diketahui,S1
457,tidak diketahui,S1
457,tidak diketahui,S2
457,tidak diketahui,S3
458,dki jakarta,TIDAK DICANTUMKAN
459,dki jakarta,TIDAK DICANTUMKAN
460,dki jakarta,D3
461,jawa timur,D3
462,jawa timur,S1
463,dki jakarta,S1
464,dki jakarta,D3
464,dki jakarta,S1
465,sulawesi selatan,S1
466,banten,D3
467,tidak diketahui,D3
467,tidak diketahui,S1
468,tidak diketahui,D3
469,banten,S1
470,dki jakarta,S1
471,banten,S1
472,tidak diketahui,D3
473,banten,S1
474,tidak diketahui,PROFESI
475,jawa barat,D3
476,dki jakarta,S1
477,banten,S1
478,dki jakarta,TIDAK DICANTUMKAN
479,jawa barat,S1
479,jawa barat,S2
479,jawa barat,PROFESI
480,dki jakarta,S1
481,jawa barat,TIDAK DICANTUMKAN
482,dki jakarta,S1
483,dki jakarta,D3
484,jawa tengah,S1
485,jawa timur,S1
486,jawa tengah,S1
487,dki jakarta,S1
488,jawa tengah,S1
489,dki jakarta,S1
490,bali,TIDAK DICANTUMKAN
491,dki jakarta,S1
492,di yogyakarta,D3
493,dki jakarta,D3
493,dki jakarta,S1
494,dki jakarta,S1
495,jawa tengah,S1
496,tidak diketahui,TIDAK DICANTUMKAN
497,dki jakarta,S1
498,dki jakarta,D3
498,dki jakarta,S1
499,jawa timur,TIDAK DICANTUMKAN
500,jawa barat,S1
501,jawa timur,D3
501,jawa timur,S1
502,jawa timur,D3
503,dki jakarta,S1
504,dki jakarta,S1
505,jawa timur,D3
506,jawa timur,TIDAK DICANTUMKAN
507,dki jakarta,TIDAK DICANTUMKAN
508,jawa barat,S1
509,jawa timur,S1
510,jawa timur,TIDAK DICANTUMKAN
511,jawa timur,D3
511,jawa timur,S1
512,dki jakarta,TIDAK DICANTUMKAN
513,sumatera utara,D3
513,sumatera utara,S1
514,jawa barat,TIDAK DICANTUMKAN
515,banten,TIDAK DICANTUMKAN
516,dki jakarta,TIDAK DICANTUMKAN
517,kepulauan riau,D3
518,dki jakarta,S1
519,jawa tengah,TIDAK DICANTUMKAN
520,dki jakarta,PROFESI
520,dki jakarta,S1
520,dki jakarta,S2
520,dki jakarta,S3
521,tidak diketahui,S1
522,dki jakarta,TIDAK DICANTUMKAN
523,dki jakarta,S1
524,dki jakarta,D3
525,jawa timur,S1
526,jawa barat,S1
527,jawa tengah,TIDAK DICANTUMKAN
528,jawa barat,D3
528,jawa barat,S1
529,dki jakarta,S1
530,dki jakarta,S1
531,dki jakarta,S1
532,dki jakarta,S1
533,dki jakarta,S1
533,dki jakarta,D3
533,dki jakarta,PROFESI
534,dki jakarta,TIDAK DICANTUMKAN
535,banten,D3
535,banten,S1
536,di yogyakarta,TIDAK DICANTUMKAN
537,dki jakarta,S1
538,di yogyakarta,TIDAK DICANTUMKAN
539,dki jakarta,D3
539,dki jakarta,S1
540,jawa timur,S1
541,jawa barat,S1
